ufid,size,%_treated,%_censored,%_effect_size,effect_size,link_type,snr,tx_importance,deg(y),deg(z),deg(c),n_conf(y),n_conf(yz),n_conf(z),n_conf(c),n_conf(cy),n_conf(cz),n_conf(cyz),dgp,instance,random_seed
819160dff3d54f87923c9e9cc70e364d,1000,47.562567329,0,-26.435626778699998,-0.15152397513399998,exp,0.853979203779,0.434294481903,11,10,-1,0,10,0,0,0,0,0,3,5,107161
9cc47da14a5c49e6ac3210b191a9c899,1000,47.8069696926,0,-41.5717389725,0.9226289216500001,log,0.833968538513,0.434294481903,11,10,-1,0,10,0,0,0,0,0,3,6,827046
c2ef2bfc71514470a6a95c24925391d1,1000,46.4119896287,0,-48.1987684784,0.38276867230800005,log,0.841608472534,0.434294481903,11,10,-1,0,10,0,0,0,0,0,3,7,102639
97868a7d52824e728aaf8c9d4ed9b736,1000,53.8731602335,0,-25.162114826999996,0.142206919901,log,0.826320954779,0.434294481903,11,10,-1,0,10,0,0,0,0,0,3,8,800665
00448c593936474a8407c298a63f5b58,1000,56.0914287529,0,2.31712930415,0.039387879254300005,exp,0.844977391577,0.434294481903,11,10,-1,0,10,0,0,0,0,0,3,9,707224
611df574551a46669d6c4f1d247b2841,1000,66.5923153567,0,0.0768100743232,0.11768171254200001,poly,0.9651729146979999,,2,2,-1,3,0,7,0,0,0,0,4,0,869878
17787531d43f47a6a01d3930dc8b44d7,1000,61.149474931899995,0,117.326131968,4.43461928312,poly,0.959856843303,,2,2,-1,3,0,7,0,0,0,0,4,1,305328
0fad8d0539024ead9467a22fe3dc3ce2,1000,30.7409305644,0,-20.5795575904,12.865900766400001,poly,0.9517901243770001,,3,1,-1,3,0,7,0,0,0,0,4,3,926584
fd27015ed24c445d825a1cae5e74f898,1000,50.038190343100005,0,7.05812662663,-0.930418246433,poly,0.9252266833759999,,2,1,-1,3,0,7,0,0,0,0,4,4,570579
e84f5c8ff9e04e048d74087463e300de,1000,61.8143643435,0,25.4271131106,-3.66693358186,poly,0.9361466589849999,,1,3,-1,3,0,7,0,0,0,0,4,5,108171
2a92c055db0b4a54bc18439cd91304d9,1000,67.80342799649999,0,15.8841903713,-2.60138556422,poly,0.9412350706970001,,3,1,-1,3,0,7,0,0,0,0,4,6,796590
01c0a33e1c36432dae59760175c1e334,1000,52.6315431986,0,9.02609115505,2.54254442609,poly,0.935820009876,,1,3,-1,3,0,7,0,0,0,0,4,8,638612
aa188754571b47979a162beb9600f2a6,1000,52.701728555699994,0,69.1049581975,3.9555159597000005,poly,0.9804193797299999,0.51389834237,1,2,-1,5,2,3,0,0,0,0,5,0,543716
c30f45d269a84671a7f7ec05312e9bd5,1000,42.9034773832,0,5.7247636473500005,-0.41416022863000007,poly,0.95780920785,0.51389834237,1,2,-1,5,2,3,0,0,0,0,5,1,866019
0ef668e353cf4a52892adfcf377128e8,1000,67.4770224825,0,-18.518843236800002,-0.325751326126,poly,0.976114277111,0.51389834237,1,1,-1,5,2,3,0,0,0,0,5,2,996644
e3e5f27c75704a6089d90d46d25bc51b,1000,68.38869266520001,0,19.696367303699997,0.334661011715,poly,0.956559836154,0.51389834237,1,2,-1,5,2,3,0,0,0,0,5,3,55840
1ebecf19207e452b9c5f023fb746f30d,1000,47.0131057134,0,-67.626155732,3.0840109271900005,poly,0.917965970954,0.51389834237,2,3,-1,5,2,3,0,0,0,0,5,4,670251
6b3b024115fe44208e72ae3e6e30635e,1000,58.4762922302,0,66.4477200707,-1.7962235779099998,poly,0.963782813666,0.51389834237,2,1,-1,5,2,3,0,0,0,0,5,5,713015
2fd4b7c574be477aadc095786d8dec24,1000,54.6036776067,0,-1.8213969079299999,-3.34228024587,poly,0.9867890661409999,0.51389834237,3,1,-1,5,2,3,0,0,0,0,5,7,14566
bf3dfa64a647447196d5197e28201893,1000,52.122371318599996,0,0.614946476356,1.3570526947,poly,0.973671692369,0.51389834237,3,2,-1,5,2,3,0,0,0,0,5,8,368046
851a503c9dfd48b588edd24f80dfc8b7,1000,61.0205064939,0,-2.09450410446,2.81795184245,poly,0.954217343228,0.51389834237,3,2,-1,5,2,3,0,0,0,0,5,9,243836
d4acd27feb0e4849943597b914e69728,1000,45.0577827988,0,-3.21910080124,-0.018564373559,exp,0.989306383434,,9,3,-1,7,1,2,0,0,0,0,6,0,55033
be27603353e3404ab95f7815e2b23340,1000,77.5602915851,0,16.7415853801,3.4097952003099996,exp,0.967592339139,,9,3,-1,7,1,2,0,0,0,0,6,1,341738
c1aad745c04c479a98b366ced810e164,1000,69.3940399885,0,-25.543822564000003,-0.106024409058,exp,0.9480030071269999,,9,3,-1,7,1,2,0,0,0,0,6,2,791870
173f52bd956649aab319013080b28e7d,1000,37.725075225,0,-0.399052592229,-0.00856933577174,log,0.9804221055329999,,9,3,-1,7,1,2,0,0,0,0,6,3,436853
93c2ac37bd9344008919f5dc8050a727,1000,69.6191329824,0,-89.71791197799999,-2.19625117176,exp,0.9682292852150001,,9,3,-1,7,1,2,0,0,0,0,6,5,511418
ef4583bbaf444e018bf0287cad46ae7d,1000,52.225021963100005,0,2.09775192585,0.049172128249900006,log,0.954032932756,,9,3,-1,7,1,2,0,0,0,0,6,6,553095
cbf484c43f43421f96c824ccad539a6f,1000,37.572806489899996,0,27.3384632813,-0.06524208249699999,log,0.9166785245579999,,9,3,-1,7,1,2,0,0,0,0,6,9,961359
c7dfb36afa0e4a79adf05bacebabf43f,1000,59.211706460500004,0,-21.2178056869,-0.125631308002,log,0.9351900717630001,0.480898346963,9,9,-1,1,7,2,0,0,0,0,7,0,310210
03b18a25649144a3b7716c28647fdd00,1000,51.258746538800004,0,-159.966217223,0.940469187172,log,0.9883022494670001,0.480898346963,9,9,-1,1,7,2,0,0,0,0,7,3,264456
7f0f324bc54b41fa9238a47058323548,1000,75.333919478,0,16.76337805,0.212901189159,exp,0.956313728872,0.480898346963,9,9,-1,1,7,2,0,0,0,0,7,4,380120
b723b21e810b4d9cb90ae2eecdf6561a,1000,57.0926360192,0,19.5310232,0.185226426477,exp,0.9747879561700001,0.480898346963,9,9,-1,1,7,2,0,0,0,0,7,5,206112
86cbb931c8fd49bb8508947a861fdcd7,1000,51.7594514321,0,14.4824087926,0.216634454536,exp,0.940729924174,0.480898346963,9,9,-1,1,7,2,0,0,0,0,7,6,493226
e98b5aa4a27f4a30855beb85cfa2bf61,1000,50.3954302789,0,11.244371915,0.07013221981829999,exp,0.974250805803,0.480898346963,9,9,-1,1,7,2,0,0,0,0,7,7,309724
3500319934fa4da89d00f1ae37d31e75,1000,50.694633006000004,0,-53.235981213500004,0.128564695478,log,0.959537526495,0.480898346963,9,9,-1,1,7,2,0,0,0,0,7,8,484164
cfa89ceae4ee4eb686d0c1793734355d,1000,59.773987878599996,0,-22.4525015529,-0.190228546276,exp,0.9778901894490001,0.480898346963,9,9,-1,1,7,2,0,0,0,0,7,9,447417
4e14c050d98741ba9b146b0ce8cabe05,1000,20.2381947268,0,-7.15443679587,-1.63755385744,poly,0.837178294228,,3,3,-1,1,5,4,0,0,0,0,8,0,576605
1855679e7de64285a9a6334fdebfd22b,1000,20.9210314665,0,22.519265426700002,-11.5003396379,poly,0.873277321228,,3,1,-1,1,5,4,0,0,0,0,8,1,29200
97e086bc2788420db714aab1a3f058c2,1000,29.683290630300004,0,24.9876259436,1.7506981110099997,poly,0.813814108345,,1,2,-1,1,5,4,0,0,0,0,8,2,333820
f93c1733538b4de792e8f5a016cfbebe,1000,30.0820568398,0,1.69719177742,-0.289610930271,poly,0.833176280185,,1,2,-1,1,5,4,0,0,0,0,8,3,474387
871c4241a61340b5a6804327ea0d45e5,1000,10.9976588587,0,22.6350133054,0.761538786038,poly,0.84861862965,,1,2,-1,1,5,4,0,0,0,0,8,4,516097
71238760fc594400978c7483ae5f5184,1000,2.33202311135,0,-78.0081935955,-4.1368491599,poly,0.8224364240100001,,2,2,-1,1,5,4,0,0,0,0,8,6,361133
8d4d35eb0f4b4132914cdc2374fccce6,1000,34.0483356816,0,-0.17168297679000002,-1.62299748632,poly,0.83169718618,,2,2,-1,1,5,4,0,0,0,0,8,8,367290
4f158c89f2444cef8d45c4fc2ff0d903,1000,16.4835676861,0,0.010431391765700002,1.92483899982,poly,0.83198251052,,1,2,-1,1,5,4,0,0,0,0,8,9,943871
8f089b3a69e2403cae500ae531261c18,1000,42.8916785344,0,19.9355335337,1.8308237728299999,poly,0.856010551826,0.455119613313,3,2,-1,6,3,1,0,0,0,0,9,0,285155
a845163d69324782b1692ddf655e488c,1000,19.5829424946,0,-0.0613327096854,0.07677274037060001,poly,0.858469617658,0.455119613313,3,1,-1,6,3,1,0,0,0,0,9,1,23017
e92aeaf1caca4981afd3813b2ef390a2,1000,15.283674381199999,0,0.178211774153,0.263737870182,poly,0.845721396675,0.455119613313,3,2,-1,6,3,1,0,0,0,0,9,3,172407
530559787a7c4d80b93ca788c916c608,1000,7.538494691810001,0,66.8779783345,-3.5301746871499997,poly,0.866241415632,0.455119613313,3,1,-1,6,3,1,0,0,0,0,9,4,219970
a7031a3ec4e74bce9314f2f6f3878b38,1000,21.6430927798,0,8.219852359839999,-2.60709222997,poly,0.827244180867,0.455119613313,2,2,-1,6,3,1,0,0,0,0,9,5,263894
56615c77d6384711ba3f6f275585add5,1000,30.7547412217,0,0.09219770128280001,-0.796426523609,poly,0.83822099001,0.455119613313,1,2,-1,6,3,1,0,0,0,0,9,6,304162
30ea5940115b4e2ab98ead015c4e613f,1000,29.230445469499998,0,21.630856309699997,3.00673952384,poly,0.84693721516,0.455119613313,3,3,-1,6,3,1,0,0,0,0,9,7,569128
61eaf3e024af413fbeb44556d22d22bd,1000,17.9754920629,0,10.7626177825,1.15043379348,poly,0.854703405143,0.455119613313,2,1,-1,6,3,1,0,0,0,0,9,8,798568
0a797ab0e49b462e9d09a3a675ec8819,1000,39.0561887015,0,-16.6381768332,-0.098452651294,exp,0.8638015806630001,,5,9,-1,1,3,6,0,0,0,0,10,0,351771
0816e03e89c24d38bab8e2a3f76ae0ff,1000,22.0161294869,0,-13.4585798213,-0.597251329855,exp,0.8831944941490001,,5,9,-1,1,3,6,0,0,0,0,10,1,22041
3a6d25c948364449a3aa8f136f824bdb,1000,18.7591578428,0,56.1343942683,0.316894723795,log,0.8073156808480001,,5,9,-1,1,3,6,0,0,0,0,10,2,176902
2a480b255c674e86b7c213c077a98620,1000,39.9787877705,0,142.73535107200001,0.009992410721610001,exp,0.853037062974,,5,9,-1,1,3,6,0,0,0,0,10,3,970525
3c5999db48854744819bcd28cdebd4bb,1000,6.9101646116,0,23.4508479321,0.08585610756090001,exp,0.8346869666050001,,5,9,-1,1,3,6,0,0,0,0,10,4,787175
9e0fe48f34cf446180c1d6f210b6eb71,1000,21.6345189803,0,-27.2173053532,-0.39283040021300003,exp,0.831278503687,,5,9,-1,1,3,6,0,0,0,0,10,5,473
9912a0e2db1742b58255971e43fc7dbe,1000,18.3627478905,0,-38.0587777037,-0.0831858741521,exp,0.8364066148980001,,5,9,-1,1,3,6,0,0,0,0,10,8,207311
dc73f831aa9542ea83ca16878e0e0413,1000,32.0443135076,0,43.674602322,-0.12267703840500001,log,0.846800421873,,5,9,-1,1,3,6,0,0,0,0,10,9,38540
36307069eec64d81a959cb4d0539c677,1000,8.28592471449,0,-38.8647656588,0.127204857353,log,0.8307346387000001,0.434294481903,11,9,-1,1,9,0,0,0,0,0,11,0,784220
b6b6b825db8049acbd7385807821bdb1,1000,17.7815159043,0,9.30001372872,-0.09751370234099999,log,0.8569010280500001,0.434294481903,11,9,-1,1,9,0,0,0,0,0,11,1,398586
f60ece3b44734606959d4a7f1acc84ce,1000,28.676770219,0,-2.45898447804,0.026532376615,log,0.789238205006,0.434294481903,11,9,-1,1,9,0,0,0,0,0,11,2,687569
ec907d052c3047379a29578338d7fd71,1000,16.7611442427,0,-1.45180084495,-0.00873725582352,exp,0.8537315048849999,0.434294481903,11,9,-1,1,9,0,0,0,0,0,11,3,219150
d6c27e225cc04bc5b670735557176cac,1000,15.598887624300001,0,7.84276262786,-0.103242997073,log,0.882661993538,0.434294481903,11,9,-1,1,9,0,0,0,0,0,11,4,582592
f5456a1ed58a45a1b5f7c7b3cb2b542b,1000,11.228036209,0,-0.803229629744,-0.014790460616,log,0.8671581441089999,0.434294481903,11,9,-1,1,9,0,0,0,0,0,11,5,258181
86cb8f9d5901413e84feccac440e131c,1000,6.655734921380001,0,-1.8945946654199999,-0.0231875741244,exp,0.854186184513,0.434294481903,11,9,-1,1,9,0,0,0,0,0,11,6,875862
51536946be2344cda9286e8f1b7835ae,1000,28.4746121219,0,36.0666111975,-1.3807561064200002,log,0.855465127816,0.434294481903,11,9,-1,1,9,0,0,0,0,0,11,7,242670
382d1522f69a4bcb91a74f8608967661,1000,5.86946564985,0,-25.884220796999998,-0.158698891064,exp,0.845488380586,0.434294481903,11,9,-1,1,9,0,0,0,0,0,11,8,641123
98f90e0cb3bf491c9721b7d222448cd0,1000,25.009938885700002,0,-3.13575181103,-0.0450893431159,exp,0.827404153433,0.434294481903,11,9,-1,1,9,0,0,0,0,0,11,9,669365
d07a3cf5fe5f49398277494cfd25fd04,1000,18.932602123,0,-0.0640840716441,2.57941058708,poly,0.925185608865,,1,1,-1,0,7,3,0,0,0,0,12,0,328320
aad2e974e9ad434ebc6c09c29b608399,1000,20.588523740899998,0,-0.246647246519,8.61854686021,poly,0.946460785903,,3,2,-1,0,7,3,0,0,0,0,12,1,333835
6737a4f02a67495d80472eeb088405b5,1000,25.3965611038,0,-0.0065904528896099995,-2.68915734964,poly,0.917622867724,,3,2,-1,0,7,3,0,0,0,0,12,2,276489
2d2d5666831749f1b261c7ede430d054,1000,22.443146877800004,0,0.023203168198700004,-0.0149607053514,poly,0.980714187033,,1,3,-1,0,7,3,0,0,0,0,12,3,64207
66dda8112e7a43b4bd5f5a89dd10aa89,1000,22.7285385055,0,24.343127523699998,-6.949471110760001,poly,0.986978328566,,1,2,-1,0,7,3,0,0,0,0,12,4,543896
8098815b7ccb4df8b0a5c18a8395322a,1000,23.255391173200003,0,2.3543938517400003,-8.792510959269999,poly,0.9434033578640001,,2,2,-1,0,7,3,0,0,0,0,12,5,371664
0b4bf5d6065542caab8231b871416969,1000,26.8750299299,0,-0.0865555306138,-1.8718378991999998,poly,0.9411722420440001,,3,2,-1,0,7,3,0,0,0,0,12,6,614772
2b4748ad00fe4585ae7de161f8189508,1000,30.794224517199996,0,41.4054367684,-11.8718902901,poly,0.9439019572600001,,2,2,-1,0,7,3,0,0,0,0,12,7,707076
0094fc4ea444428b8add796970282d81,1000,20.6711110678,0,0.00569748347745,1.6113107163100002,poly,0.948950831146,,3,3,-1,0,7,3,0,0,0,0,12,8,841757
fd2a2632685c4d5eb1a7ca93bf0c6e6b,1000,35.167360074899996,0,-8.22989115955,7.90861408538,poly,0.982376938557,,3,2,-1,0,7,3,0,0,0,0,12,9,53836
f1e075e1abbd494aa4ef450a0d8e0a02,1000,10.746453204000002,0,1.97414017875,1.84797361414,poly,0.974292244133,0.480898346963,3,3,-1,4,4,2,0,0,0,0,13,0,565921
ac010327e9314733bb26a1f10d741eee,1000,9.88921210096,0,18.6994478196,-0.618989691262,poly,0.926353699631,0.480898346963,1,3,-1,4,4,2,0,0,0,0,13,1,39360
eccd81b10edf459f8db4cd78997ace7e,1000,11.9696794698,0,-27.576268085,1.9181514971,poly,0.959209630379,0.480898346963,2,1,-1,4,4,2,0,0,0,0,13,2,782617
0eea35a96d9546fb9ff1ef90c8595563,1000,26.816561064200002,0,-33.266426179,0.760656759024,poly,0.9463157625049999,0.480898346963,1,3,-1,4,4,2,0,0,0,0,13,3,943604
1d643c40cace4091bba1f9d0dbf84252,1000,26.406808165300003,0,9.92719278473,1.6495718988499999,poly,0.9830547160009999,0.480898346963,3,1,-1,4,4,2,0,0,0,0,13,4,673149
eb7babd81b09491e9847b66d4ecd80b4,1000,17.422443328499998,0,-0.634065690001,0.0370270937875,poly,0.953187482093,0.480898346963,3,1,-1,4,4,2,0,0,0,0,13,5,716202
e8015bb8c062496aa80a276d9c46e62d,1000,27.716486405799998,0,-24.5323166974,-1.8341400917099997,poly,0.9580907912759999,0.480898346963,3,2,-1,4,4,2,0,0,0,0,13,6,517402
41cf17d9c31347138d30c0fd82d4c25f,1000,22.4471589919,0,7.41446055464,1.05917952565,poly,0.949514804551,0.480898346963,2,2,-1,4,4,2,0,0,0,0,13,8,106722
4b4731eb3edc419a916b65b979dabe26,1000,27.8446150688,0,-64.3083393213,1.25979137177,poly,0.93781187327,0.480898346963,1,1,-1,4,4,2,0,0,0,0,13,9,377417
f775a2270fe144519e0902bb3a5ea26e,1000,15.1741174774,0,4.00412788302,0.06967962521210001,log,0.995073258943,,5,8,-1,2,2,6,0,0,0,0,14,2,986322
2da829de3ff44eb88947d4deeedb2dc5,1000,26.187694723099998,0,238.458080585,-0.549782368076,log,0.928144085546,,5,8,-1,2,2,6,0,0,0,0,14,3,541501
4fb34e5403554c7aa4dae32344606de5,1000,19.3155613638,0,-141.423036233,0.579196823037,log,0.979417374561,,5,8,-1,2,2,6,0,0,0,0,14,4,932042
6341f91898564f51b888668b75a00598,1000,14.006160823399998,0,94.6183457111,0.401063158702,log,0.970564920776,,5,8,-1,2,2,6,0,0,0,0,14,6,814680
adea3cb5212b416292146ce701ac335a,1000,1.10094801685,0,37.7988653271,0.776302681751,exp,0.953239222015,,5,8,-1,2,2,6,0,0,0,0,14,7,843811
3ecc7697245c44cc99a500b1141d2144,1000,29.012332185500004,0,4.42838821696,0.0597494583256,log,0.966978751991,,5,8,-1,2,2,6,0,0,0,0,14,8,889176
171fdee735974487921eb793681cd7e7,1000,22.4812436921,0,-152.323213029,-0.5424275578459999,exp,0.9627815374009999,,5,8,-1,2,2,6,0,0,0,0,14,9,162885
01494edb8e21488d9044dfccad91befc,1000,11.1576862595,0,-53.465566466999995,-0.358669015044,exp,0.962280574472,0.434294481903,11,7,-1,3,7,0,0,0,0,0,15,0,710288
eefe900eb96b467f99981814cace7475,1000,34.8020814443,0,-1.6113192855899998,0.014719620086999998,log,0.943924746286,0.434294481903,11,7,-1,3,7,0,0,0,0,0,15,1,153412
bd3059fb6d134a20b5b9c57c5e3bfb8e,1000,32.7853286439,0,0.685446039364,0.0173289813557,log,0.9700652153210001,0.434294481903,11,7,-1,3,7,0,0,0,0,0,15,2,765129
e36396f4c806440c9f8d37bf91fae749,1000,29.178244571399997,0,-13.1316661286,-0.145111278524,exp,0.963495576129,0.434294481903,11,7,-1,3,7,0,0,0,0,0,15,3,577271
72d6627d5f2545a58622ebda75368c02,1000,30.286527150799998,0,-3.57642878751,-0.0603389028627,exp,0.964989466249,0.434294481903,11,7,-1,3,7,0,0,0,0,0,15,4,819171
5fff0c761ad64d23b02563827dc0dc12,1000,28.5315290158,0,-15.829959111400001,-0.140704859325,exp,0.979093170081,0.434294481903,11,7,-1,3,7,0,0,0,0,0,15,5,36325
51dc48e1bf764153ac962f8f71a3002c,1000,12.270736277100001,0,-92.1283949498,-0.0164743953428,log,0.9413037797050001,0.434294481903,11,7,-1,3,7,0,0,0,0,0,15,6,510039
cea3ab2bb51348e992b8b490b465488b,1000,13.541073170899999,0,21.8253196621,0.390611055735,exp,0.9605390759579999,0.434294481903,11,7,-1,3,7,0,0,0,0,0,15,8,578849
36f7e2258826418481daed86890674f0,1000,23.416281094099997,0,12.3414116543,0.119799452532,exp,0.9704840434119999,0.434294481903,11,7,-1,3,7,0,0,0,0,0,15,9,604289
f808a356d2f44f87bb72d5973ea4881d,1000,50.4709211842,0,-0.663348831445,7.262120116539999,poly,0.835614457173,,2,3,-1,3,2,15,0,0,0,0,16,0,184105
fb2ba3e4fdad4c6b97db994ea2d52d2b,1000,60.847658610299995,0,0.15847994357200001,4.91773451361,poly,0.885536655476,,2,3,-1,3,2,15,0,0,0,0,16,2,158507
28d7a2b565ff4c33a26bcf97d158e66b,1000,59.4019160171,0,0.0301402138259,5.631834077430001,poly,0.827606716398,,3,3,-1,3,2,15,0,0,0,0,16,3,154012
6d5d061aa0e34f91952c32eea6b3503e,1000,33.4914541117,0,-0.00589946317166,-0.271111769108,poly,0.868778293914,,2,2,-1,3,2,15,0,0,0,0,16,4,911901
e76454ba39ab49cbb3f6933ef03b5acc,1000,50.6648694145,0,-190.393717027,-7.6961827551,poly,0.8470516683820001,,1,1,-1,3,2,15,0,0,0,0,16,5,465225
d3ab11b747834b72887a87d7c80dd2a0,1000,40.193576283,0,15.701855813,3.1757152229299996,poly,0.87221772968,,1,1,-1,3,2,15,0,0,0,0,16,6,621214
67c3ea5eb04f4e65a35f5cb5463c88b6,1000,64.3381116165,0,-0.469167209983,6.60615728745,poly,0.8562631247239999,,2,3,-1,3,2,15,0,0,0,0,16,7,957143
11347180430349a9b6a632a965f0552b,1000,54.032396773900004,0,-2.98754144387,1.26688489247,poly,0.826307094903,,2,3,-1,3,2,15,0,0,0,0,16,9,546136
fedae3c8817b4f73ad5c68789a1b8259,1000,61.20556555939999,0,5.31795903366,0.927676786632,poly,0.846150917591,0.34597625626100004,1,3,-1,15,3,2,0,0,0,0,17,0,929635
d78604bed9064daba339d8ac1651c81f,1000,51.643741237700006,0,3.9936189107199995,0.607383652306,poly,0.8449150907269999,0.34597625626100004,3,1,-1,15,3,2,0,0,0,0,17,1,208712
56cdaefd002a4281bed1d59154d70280,1000,61.139265778500004,0,-19.5077300839,-0.991169929991,poly,0.8635747480920001,0.34597625626100004,1,1,-1,15,3,2,0,0,0,0,17,3,133101
8121e226f02a443f8cf97fbcd97370ee,1000,59.853149547799994,0,-0.534714602667,-0.126691548959,poly,0.835407786612,0.34597625626100004,1,3,-1,15,3,2,0,0,0,0,17,4,528014
325b066705c14f7bac562dc169f7db26,1000,32.39806805,0,2.10847250238,0.572838192047,poly,0.8513677400730001,0.34597625626100004,3,2,-1,15,3,2,0,0,0,0,17,6,159814
662ad019785e4af18a1c511336afa5f4,1000,67.6598018469,0,-40.9655255023,-2.64139806502,poly,0.8639189392129999,0.34597625626100004,3,1,-1,15,3,2,0,0,0,0,17,8,886251
bbb15bf0608449868827db6f5651cc4f,1000,46.8057852132,0,25.357436967800002,0.693841545024,poly,0.8829627584649999,0.34597625626100004,3,1,-1,15,3,2,0,0,0,0,17,9,440382
bff18fdcf63444f8bb52b70afacc3166,1000,44.652676782200004,0,7.19235210491,0.053898123979699994,log,0.875290596799,,20,7,-1,13,6,1,0,0,0,0,18,0,244057
4ee0d4c5a8844128bb5815c1b90426b6,1000,71.58494749810001,0,18.0888815916,0.0637085668922,log,0.8484803700679999,,20,7,-1,13,6,1,0,0,0,0,18,2,956723
341b553d612c4e2d90e9847bc1fff07f,1000,51.817618109799994,0,0.7574383738770001,0.0171317719662,log,0.8211332892300001,,20,7,-1,13,6,1,0,0,0,0,18,3,811773
